LAIR1	LAIR1	Gene Expression
LILRA4	LILRA4	Gene Expression
VN1R104P	VN1R104P	Gene Expression
LILRA5	LILRA5	Gene Expression
LILRA3	LILRA3	Gene Expression
MIR4752	MIR4752	Gene Expression
LILRB2	LILRB2	Gene Expression
LOC100420187	LOC100420187	Gene Expression
LILRB5	LILRB5	Gene Expression
LOC107987463	LOC107987463	Gene Expression
LILRA6	LILRA6	Gene Expression
LOC100421130	LOC100421130	Gene Expression
LOC107987462	LOC107987462	Gene Expression
RPS9	RPS9	Gene Expression
TSEN34	TSEN34	Gene Expression
MBOAT7	MBOAT7	Gene Expression
TMC4	TMC4	Gene Expression
LENG1	LENG1	Gene Expression
LOC102724273	LOC102724273	Gene Expression
CNOT3	CNOT3	Gene Expression
PRPF31	PRPF31	Gene Expression
TFPT	TFPT	Gene Expression
NDUFA3	NDUFA3	Gene Expression
OSCAR	OSCAR	Gene Expression
TARM1	TARM1	Gene Expression
VSTM1	VSTM1	Gene Expression
LOC107987461	LOC107987461	Gene Expression
HCG23	HCG23	Gene Expression
BTNL2	BTNL2	Gene Expression
TSBP1-AS1	TSBP1-AS1	Gene Expression
HLA-DRA	HLA-DRA	Gene Expression
LOC102725035	LOC102725035	Gene Expression
LOC112268246	LOC112268246	Gene Expression
ZBTB9	ZBTB9	Gene Expression
MIR5004	MIR5004	Gene Expression
SYNGAP1	SYNGAP1	Gene Expression
CUTA	CUTA	Gene Expression
PHF1	PHF1	Gene Expression
RPL12P1	RPL12P1	Gene Expression
KIFC1	KIFC1	Gene Expression
SMIM40	SMIM40	Gene Expression
RPS18	RPS18	Gene Expression
VPS52	VPS52	Gene Expression
HCG25	HCG25	Gene Expression
LOC105375022	LOC105375022	Gene Expression
ZNF70P1	ZNF70P1	Gene Expression
COL11A2	COL11A2	Gene Expression
HLA-DPB2	HLA-DPB2	Gene Expression
COL11A2P1	COL11A2P1	Gene Expression
HLA-DPA2	HLA-DPA2	Gene Expression
RPL32P1	RPL32P1	Gene Expression
HLA-DPB1	HLA-DPB1	Gene Expression
HLA-DPA1	HLA-DPA1	Gene Expression
HLA-DOA	HLA-DOA	Gene Expression
BRD2	BRD2	Gene Expression
HLA-DMA	HLA-DMA	Gene Expression
HLA-DMB	HLA-DMB	Gene Expression
HLA-Z	HLA-Z	Gene Expression
LOC100294145	LOC100294145	Gene Expression
PPP1R2P1	PPP1R2P1	Gene Expression
PSMB9	PSMB9	Gene Expression
TAP1	TAP1	Gene Expression
PSMB8-AS1	PSMB8-AS1	Gene Expression
PSMB8	PSMB8	Gene Expression
TAP2	TAP2	Gene Expression
HLA-DOB	HLA-DOB	Gene Expression
HLA-DQB2	HLA-DQB2	Gene Expression
MIR3135B	MIR3135B	Gene Expression
HLA-DQA2	HLA-DQA2	Gene Expression
LOC102725019	LOC102725019	Gene Expression
HLA-DQB1	HLA-DQB1	Gene Expression
HLA-DQA1	HLA-DQA1	Gene Expression
LOC107987459	LOC107987459	Gene Expression
HLA-DRB1	HLA-DRB1	Gene Expression
FAM8A5P	FAM8A5P	Gene Expression
HLA-DRB7	HLA-DRB7	Gene Expression
LOC100294316	LOC100294316	Gene Expression
PRKRAP1	PRKRAP1	Gene Expression
HLA-DRB8	HLA-DRB8	Gene Expression
HLA-DRB4	HLA-DRB4	Gene Expression
HLA-DRB9	HLA-DRB9	Gene Expression
RNU6-603P	RNU6-603P	Gene Expression
HNRNPA1P2	HNRNPA1P2	Gene Expression
TSBP1	TSBP1	Gene Expression
NOTCH4	NOTCH4	Gene Expression
GPSM3	GPSM3	Gene Expression
PBX2	PBX2	Gene Expression
AGER	AGER	Gene Expression
MIR6833	MIR6833	Gene Expression
RNF5	RNF5	Gene Expression
MIR6721	MIR6721	Gene Expression
AGPAT1	AGPAT1	Gene Expression
EGFL8	EGFL8	Gene Expression
PPT2-EGFL8	PPT2-EGFL8	Gene Expression
PPT2	PPT2	Gene Expression
LOC100507547	LOC100507547	Gene Expression
PRRT1	PRRT1	Gene Expression
TNXB	TNXB	Gene Expression
CYP21A2	CYP21A2	Gene Expression
C4B	C4B	Gene Expression
STK19B	STK19B	Gene Expression
TNXA	TNXA	Gene Expression
CYP21A1P	CYP21A1P	Gene Expression
C4B_2	C4B_2	Gene Expression
STK19	STK19	Gene Expression
DXO	DXO	Gene Expression
SKIV2L	SKIV2L	Gene Expression
MIR1236	MIR1236	Gene Expression
NELFE	NELFE	Gene Expression
CFB	CFB	Gene Expression
C2-AS1	C2-AS1	Gene Expression
C2	C2	Gene Expression
LOC107986588	LOC107986588	Gene Expression
EHMT2	EHMT2	Gene Expression
SLC44A4	SLC44A4	Gene Expression
NEU1	NEU1	Gene Expression
VARS1	VARS1	Gene Expression
VWA7	VWA7	Gene Expression
SAPCD1-AS1	SAPCD1-AS1	Gene Expression
SAPCD1	SAPCD1	Gene Expression
RNU6-850P	RNU6-850P	Gene Expression
MSH5	MSH5	Gene Expression
MSH5-SAPCD1	MSH5-SAPCD1	Gene Expression
LOC105375020	LOC105375020	Gene Expression
CLIC1	CLIC1	Gene Expression
DDAH2	DDAH2	Gene Expression
MPIG6B	MPIG6B	Gene Expression
LY6G6C	LY6G6C	Gene Expression
LY6G6D	LY6G6D	Gene Expression
LY6G6E	LY6G6E	Gene Expression
LY6G6F	LY6G6F	Gene Expression
LY6G6F-LY6G6D	LY6G6F-LY6G6D	Gene Expression
MIR4646	MIR4646	Gene Expression
LOC105375018	LOC105375018	Gene Expression
ABHD16A	ABHD16A	Gene Expression
LOC105375019	LOC105375019	Gene Expression
LY6G5C	LY6G5C	Gene Expression
LY6G5B	LY6G5B	Gene Expression
CSNK2B	CSNK2B	Gene Expression
GPANK1	GPANK1	Gene Expression
C6orf47	C6orf47	Gene Expression
APOM	APOM	Gene Expression
BAG6	BAG6	Gene Expression
MIR6832	MIR6832	Gene Expression
SNORA38	SNORA38	Gene Expression
