           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
Jan 04 20:07:35      4.3    13033725       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:08:54      4.4    13227386       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:12:23      4.3    13324216       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:13:30      4.4    13614706       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:15:37      4.4    13808367       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:20:00      4.4    14098855       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:23:24      4.3    14195683       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:25:22      4.4    14679833       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:26:43      4.4    14776661       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:27:58      4.4    14873490       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:30:46      4.4    14970319       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:32:04      4.4    15163977       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:33:30      4.5    15357634       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:37:32      4.5    15648122       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:39:57      4.4    15744951       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:41:15      4.5    15938610       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:43:32      4.5    16132271       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:45:17      4.5    16325931       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:48:58      4.5    16519593       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:50:09      4.5    16713256       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:51:50      4.5    17003752       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:53:29      4.5    17197409       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:56:28      4.5    17294230       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:58:02      4.6    17584701       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 20:59:37      4.6    17681531       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:01:46      4.6    17875189       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:03:47      4.5    17972018       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:05:43      4.6    18165678       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:06:49      4.6    18359340       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:08:30      4.6    18553000       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:09:51      4.6    18649832       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:12:00      4.6    18843492       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:15:11      4.6    19133979       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:16:16      4.6    19230809       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:17:46      4.6    19327638       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:20:00      4.6    19424467       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:23:26      4.6    19618125       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:24:41      4.6    19811783       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:27:20      4.6    20005441       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:29:47      4.6    20295931       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:30:49      4.7    20489590       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:33:08      4.6    20586419       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:34:56      4.6    20780075       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:36:28      4.6    20876903       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:37:43      4.6    20973732       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:41:00      4.6    21070561       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:42:31      4.6    21167391       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:43:32      4.6    21264220       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:45:06      4.6    21457879       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:47:10      4.6    21554710       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:49:07      4.6    21748368       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:50:56      4.6    21942026       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:53:38      4.6    22038858       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 21:56:56      4.6    22329349       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:02:39      4.6    22619837       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:03:43      4.6    22813467       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:05:50      4.6    23006810       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:07:46      4.6    23199850       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:08:56      4.6    23392883       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:11:38      4.6    23489400       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:14:34      4.6    23585917       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:16:32      4.6    23778950       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:19:50      4.6    23971983       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:20:51      4.6    24068501       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:22:19      4.6    24165016       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:24:46      4.6    24358049       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:25:46      4.6    24454566       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:27:00      4.6    24647586       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:28:53      4.6    24937107       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:32:30      4.6    25033624       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:35:02      4.6    25130142       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:37:06      4.6    25226658       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:38:31      4.6    25419692       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:42:19      4.6    25709245       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:43:39      4.6    25902279       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:46:25      4.6    25998796       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:50:00      4.6    26384862       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:55:58      4.6    26577895       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 22:58:49      4.6    26770928       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 23:00:14      4.6    26867445       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 23:01:23      4.6    26963963       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 23:02:30      4.6    27156998       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
Jan 04 23:04:20      4.6    27253515       66    73.0%     64.3     0.7%    12.3%     1.3%     0.0%    12.9%     0.5%
